iter	Passed	Remaining
420	2171	2986
421	2175	2980
422	2179	2972
423	2182	2964
424	2185	2956
425	2188	2948
426	2190	2940
427	2193	2931
428	2196	2922
429	2198	2914
430	2208	2915
431	2218	2916
432	2224	2912
433	2228	2906
434	2232	2899
435	2235	2892
436	2239	2884
437	2242	2877
438	2245	2869
439	2247	2860
440	2250	2852
441	2252	2843
442	2261	2843
443	2272	2845
444	2278	2842
445	2283	2836
446	2287	2829
447	2290	2822
448	2294	2815
449	2297	2807
450	2300	2800
451	2303	2792
452	2305	2784
453	2319	2789
454	2327	2787
455	2332	2782
456	2336	2776
457	2340	2770
458	2344	2763
459	2347	2755
460	2350	2748
461	2353	2740
462	2355	2732
463	2358	2724
464	2366	2722
465	2375	2722
466	2380	2716
467	2384	2710
468	2387	2703
469	2391	2696
470	2394	2689
471	2397	2681
472	2399	2673
473	2402	2665
474	2404	2657
475	2407	2649
476	2418	2651
477	2426	2650
478	2432	2645
479	2436	2639
480	2440	2633
481	2444	2626
482	2447	2619
483	2450	2612
484	2452	2604
485	2455	2596
486	2457	2589
487	2460	2581
488	2471	2582
489	2477	2578
490	2482	2573
491	2485	2566
492	2488	2559
493	2491	2552
494	2494	2545
495	2497	2537
496	2500	2530
497	2502	2522
498	2510	2520
499	2522	2522
500	2527	2517
501	2532	2512
502	2536	2506
503	2540	2500
504	2543	2493
505	2546	2486
506	2549	2478
507	2551	2471
508	2553	2463
509	2561	2460
510	2571	2461
511	2577	2456
512	2581	2450
513	2584	2444
514	2588	2437
515	2590	2430
516	2593	2423
517	2596	2416
518	2599	2408
519	2601	2401
520	2614	2403
521	2619	2399
522	2624	2393
523	2628	2387
524	2631	2381
525	2635	2374
526	2638	2367
527	2641	2360
528	2643	2354
529	2646	2346
530	2648	2339
531	2656	2336
532	2666	2336
533	2671	2331
534	2675	2325
535	2679	2319
536	2682	2313
537	2685	2306
538	2688	2299
539	2691	2292
540	2693	2285
541	2696	2278
542	2710	2280
543	2714	2275
544	2719	2270
545	2723	2264
546	2726	2258
547	2729	2251
548	2732	2244
549	2735	2237
550	2737	2231
551	2740	2224
552	2742	2216
553	2751	2214
554	2760	2213
555	2765	2208
556	2769	2202
557	2773	2196
558	2776	2190
559	2779	2183
560	2782	2177
561	2784	2170
562	2787	2163
563	2789	2156
564	2791	2149
565	2806	2151
566	2812	2148
567	2818	2143
568	2822	2138
569	2826	2132
570	2829	2126
571	2832	2119
572	2835	2113
573	2838	2106
574	2841	2100
575	2843	2093
576	2846	2086
577	2860	2088
578	2866	2083
579	2870	2078
580	2874	2072
581	2877	2066
582	2880	2060
583	2883	2054
584	2886	2047
585	2888	2041
586	2891	2034
587	2893	2027
588	2907	2028
589	2913	2024
590	2919	2020
591	2923	2015
592	2927	2009
593	2930	2003
594	2934	1997
595	2936	1990
596	2939	1984
597	2942	1977
598	2944	1971
599	2947	1964
600	2961	1965
601	2966	1960
602	2970	1955
603	2973	1949
604	2977	1944
605	2981	1938
606	2984	1932
607	2987	1925
608	2989	1919
609	2991	1912
610	2994	1906
611	3005	1905
612	3011	1901
613	3016	1896
614	3020	1890
615	3023	1884
616	3026	1878
617	3029	1872
618	3032	1866
619	3035	1860
620	3037	1853
621	3039	1847
622	3041	1840
623	3056	1841
624	3061	1836
625	3065	1831
626	3069	1826
627	3072	1820
628	3076	1814
629	3078	1808
630	3081	1802
631	3084	1795
632	3086	1789
633	3089	1783
634	3101	1782
635	3107	1778
636	3112	1773
637	3116	1768
638	3119	1762
639	3122	1756
640	3125	1750
641	3128	1744
642	3130	1738
643	3133	1732
644	3135	1726
645	3149	1726
646	3155	1721
647	3159	1716
648	3163	1710
649	3166	1705
650	3169	1699
651	3172	1693
652	3175	1687
653	3177	1681
654	3180	1674
655	3182	1668
656	3184	1662
657	3198	1662
658	3203	1657
659	3207	1652
660	3211	1647
661	3214	1641
662	3217	1635
663	3220	1629
664	3222	1623
665	3225	1617
666	3227	1611
667	3229	1605
668	3232	1599
669	3246	1599
670	3252	1594
671	3257	1590
672	3261	1584
673	3265	1579
674	3268	1573
675	3271	1568
676	3274	1562
677	3276	1556
678	3279	1550
679	3293	1549
680	3299	1545
681	3303	1540
682	3307	1535
683	3311	1529
684	3314	1524
685	3317	1518
686	3320	1512
687	3323	1507
688	3325	1501
689	3334	1498
690	3343	1495
691	3348	1490
692	3352	1485
693	3356	1479
694	3359	1474
695	3362	1468
696	3365	1463
697	3368	1457
698	3371	1451
699	3374	1446
700	3388	1445
701	3393	1440
702	3398	1435
703	3402	1430
704	3405	1425
705	3409	1419
706	3411	1413
707	3414	1408
708	3417	1402
709	3419	1396
710	3422	1390
711	3437	1390
712	3444	1386
713	3449	1381
714	3453	1376
715	3457	1371
716	3460	1365
717	3464	1360
718	3467	1355
719	3469	1349
720	3472	1343
721	3474	1337
722	3476	1332
723	3493	1331
724	3500	1327
725	3505	1322
726	3509	1317
727	3512	1312
728	3515	1306
729	3518	1301
730	3521	1295
731	3524	1290
732	3527	1284
733	3529	1279
734	3541	1276
735	3547	1272
736	3551	1267
737	3555	1262
738	3559	1256
739	3562	1251
740	3565	1246
741	3567	1240
742	3570	1234
743	3572	1229
744	3580	1225
745	3591	1222
746	3597	1218
747	3601	1213
748	3605	1208
749	3608	1202
750	3612	1197
751	3615	1192
752	3618	1186
753	3620	1181
754	3628	1177
755	3639	1174
756	3645	1170
757	3650	1165
758	3653	1160
759	3657	1154
760	3660	1149
761	3663	1144
762	3666	1138
763	3669	1133
764	3671	1127
765	3685	1125
766	3691	1121
767	3695	1116
768	3699	1111
769	3702	1106
770	3705	1100
771	3709	1095
772	3712	1090
773	3715	1084
774	3724	1081
775	3734	1077
776	3740	1073
777	3744	1068
778	3748	1063
779	3751	1058
780	3754	1052
781	3758	1047
782	3760	1042
783	3763	1036
784	3765	1031
785	3777	1028
786	3785	1024
787	3790	1019
788	3794	1014
789	3797	1009
790	3800	1004
791	3803	998
792	3806	993
793	3809	988
794	3811	982
795	3817	978
796	3829	975
797	3834	970
798	3838	965
799	3842	960
800	3845	955
801	3848	950
802	3851	944
803	3854	939
804	3856	934
805	3858	928
806	3860	923
807	3875	921
808	3882	916
809	3887	911
810	3891	906
811	3894	901
812	3898	896
813	3902	891
814	3905	886
815	3907	881
816	3910	875
817	3912	870
818	3914	865
819	3928	862
820	3933	857
821	3937	852
822	3941	847
823	3944	842
824	3948	837
825	3950	832
826	3953	827
827	3956	821
828	3963	817
829	3974	814
830	3980	809
831	3985	804
832	3989	799
833	3992	794
834	3995	789
835	3998	784
836	4001	779
837	4003	773
838	4005	768
839	4008	763
840	4013	758
841	4025	755
842	4030	750
843	4034	745
844	4038	740
845	4041	735
846	4044	730
847	4047	725
848	4050	720
849	4053	715
850	4055	710
851	4064	705
852	4072	701
853	4077	697
854	4081	692
855	4085	687
856	4088	682
857	4092	677
858	4095	672
859	4097	667
860	4100	661
861	4102	656
862	4107	652
863	4120	648
864	4125	643
865	4129	639
866	4133	634
867	4136	629
868	4139	624
869	4142	619
870	4145	613
871	4147	608
872	4150	603
873	4157	599
874	4168	595
875	4173	590
876	4177	585
877	4181	581
878	4184	576
879	4187	571
880	4190	566
881	4193	560
882	4195	555
883	4197	550
884	4211	547
885	4217	542
886	4221	537
887	4226	533
888	4229	528
889	4232	523
890	4234	518
891	4237	513
892	4240	508
893	4242	503
894	4244	498
895	4256	494
896	4262	489
897	4267	484
898	4270	479
899	4274	474
900	4278	470
901	4281	465
902	4284	460
903	4290	455
904	4304	451
905	4310	447
906	4315	442
907	4320	437
908	4323	432
909	4327	427
910	4329	423
911	4333	418
912	4335	413
913	4338	408
914	4346	403
915	4356	399
916	4361	394
917	4365	389
918	4369	385
919	4372	380
920	4375	375
921	4378	370
922	4381	365
923	4384	360
924	4386	355
925	4401	351
926	4407	347
927	4411	342
928	4416	337
929	4419	332
930	4422	327
931	4425	322
932	4428	318
933	4443	313
934	4450	309
935	4455	304
936	4459	299
937	4463	295
938	4466	290
939	4469	285
940	4472	280
941	4475	275
942	4478	270
943	4480	265
944	4488	261
945	4498	256
946	4503	252
947	4507	247
948	4511	242
949	4514	237
950	4518	232
951	4521	227
952	4523	223
953	4526	218
954	4534	213
955	4545	209
956	4550	204
957	4554	199
958	4558	194
959	4561	190
960	4564	185
961	4567	180
962	4570	175
963	4572	170
964	4575	165
965	4586	161
966	4593	156
967	4598	152
968	4601	147
969	4605	142
970	4608	137
971	4611	132
972	4613	128
973	4616	123
974	4618	118
975	4626	113
976	4636	109
977	4641	104
978	4645	99
979	4649	94
980	4653	90
981	4656	85
982	4659	80
983	4662	75
984	4665	71
985	4667	66
986	4672	61
987	4686	56
988	4691	52
989	4695	47
990	4700	42
991	4703	37
992	4706	33
993	4709	28
994	4712	23
995	4714	18
996	4716	14
997	4730	9
998	4736	4
999	4740	0
