iter	RMSE
0	2175.915934
1	2059.069763
2	1949.382879
3	1845.90076
4	1748.064897
5	1655.134003
6	1570.315517
7	1489.014491
8	1412.111852
9	1337.167972
10	1266.953223
11	1204.034263
12	1143.905151
13	1085.05725
14	1032.510445
15	980.4002033
16	932.7111328
17	886.7327842
18	842.7029874
19	802.5943375
20	763.9641069
21	729.5241828
22	695.9794759
23	664.3125756
24	634.6576024
25	606.1663291
26	581.3055882
27	556.7141881
28	534.2123077
29	511.6262859
30	490.3792813
31	471.0840669
32	452.7413671
33	437.0272479
34	420.8876196
35	406.0241382
36	392.5117493
37	379.7619666
38	368.0262734
39	356.3819246
40	346.6607501
41	337.4230108
42	328.747596
43	320.7701139
44	313.7888102
45	306.3074148
46	299.5573945
47	292.712362
48	287.0251533
49	281.1929989
50	276.2668529
51	271.7683496
52	267.926308
53	264.2828006
54	260.322562
55	256.4444117
56	253.1201924
57	249.9974529
58	246.9943873
59	245.0486847
60	242.5481231
61	240.5148981
62	238.2560794
63	236.8017443
64	235.0111238
65	233.5701831
66	231.9356095
67	230.5913078
68	229.2132533
69	227.8934196
70	226.7735523
71	225.8683381
72	224.8956973
73	223.9302853
74	223.1665049
75	222.2029396
76	221.3657512
77	220.6609905
78	219.8940982
79	219.1770114
80	218.3477444
81	217.7555746
82	217.080985
83	216.4735506
84	215.8424915
85	215.3590903
86	214.8849917
87	214.488637
88	213.7994213
89	213.445848
90	213.1700877
91	212.6560497
92	212.2683121
93	211.7647226
94	211.2778907
95	210.8118664
96	210.5216625
97	210.0161772
98	209.6324794
99	209.1498417
100	208.875456
101	208.4463615
102	208.1831397
103	207.8598237
104	207.6823281
105	207.3659847
106	207.2009436
107	206.629484
108	206.2035994
109	205.977867
110	205.6516565
111	205.4078097
112	205.2610891
113	205.0925932
114	204.6562637
115	204.4184109
116	204.064155
117	203.8442341
118	203.5299161
119	203.2261692
120	202.8988381
121	202.5223622
122	202.3350502
123	202.1327608
124	201.8374049
125	201.5190811
126	201.2265
127	200.9462305
128	200.7439895
129	200.545653
130	200.442333
131	200.2372853
132	199.8165544
133	199.6552061
134	199.4133658
135	199.1995249
136	199.0424966
137	198.8306556
138	198.5505087
139	198.3291009
140	198.1337826
141	197.9390206
142	197.7719907
143	197.5673503
144	197.2952034
145	197.2072841
146	197.1256954
147	196.8123591
148	196.5625877
149	196.3671028
150	196.0708826
151	195.846721
152	195.765926
153	195.6588399
154	195.2662956
155	195.0169169
156	194.9429289
157	194.8462959
158	194.7303689
159	194.5461665
160	194.23761
161	194.0861218
162	193.8978683
163	193.7744615
164	193.598197
165	193.4440611
166	193.366014
167	193.1439556
168	193.0377075
169	192.8325788
170	192.768232
171	192.7222152
172	192.5675333
173	192.4455841
174	192.283612
175	192.1022089
176	191.994285
177	191.7195426
178	191.601912
179	191.5449371
180	191.4409148
181	191.1684799
182	191.0416977
183	190.980359
184	190.8722246
185	190.6889067
186	190.5188925
187	190.3631018
188	190.2733906
189	190.2298546
190	190.1762361
191	189.994763
192	189.8275771
193	189.645296
194	189.5823461
195	189.5453504
196	189.3297733
197	189.1174725
198	189.0651146
199	188.9474068
200	188.4993602
201	188.4509514
202	188.2370845
203	187.9701931
204	187.8087599
205	187.6836574
206	187.5610291
207	187.4589053
208	187.4111527
209	187.2158078
210	187.1263446
211	187.0130883
212	186.9065983
213	186.8032289
214	186.5801932
215	186.4672954
216	186.422168
217	186.3179448
218	186.2091481
219	186.1264088
220	186.0387683
221	185.9625328
222	185.9213724
223	185.8795276
224	185.8497842
225	185.7477311
226	185.7094597
227	185.6100773
228	185.3729012
229	185.1477091
230	185.0515776
231	185.0174291
232	184.8852741
233	184.762187
234	184.6989137
235	184.2811872
236	184.0943042
237	184.00089
238	183.9395333
239	183.8688514
240	183.4744871
241	183.2429453
242	183.1173993
243	182.9949659
244	182.6195229
245	182.5271979
246	182.4327382
247	182.3458466
248	182.1565118
249	182.0584199
250	181.6933235
251	181.5058828
252	181.4122642
253	181.1999325
254	181.1687665
255	181.0699775
256	181.0399255
257	180.6906626
258	180.6141341
259	180.3878595
260	180.3686068
261	180.2990561
262	180.1009549
263	179.9037144
264	179.8769577
265	179.7448209
266	179.4177868
267	179.2552637
268	179.0832246
269	178.7778162
270	178.6294165
271	178.5384361
272	178.4539997
273	178.3877624
274	178.2402609
275	178.0513606
276	177.7628353
277	177.6118943
278	177.5549176
279	177.4564441
280	177.2748023
281	177.1907441
282	176.9969266
283	176.8969903
284	176.7105775
285	176.6222267
286	176.346101
287	176.2856331
288	176.1789269
289	176.1223616
290	176.0455576
291	175.913012
292	175.8367104
293	175.7774133
294	175.6393959
295	175.3786267
296	175.2403207
297	175.2247984
298	175.1528063
299	174.9243566
300	174.7774697
301	174.6995065
302	174.5437152
303	174.3284654
304	174.1854936
305	174.0496545
306	173.8691557
307	173.8271249
308	173.6548524
309	173.4881803
310	173.3719188
311	173.235448
312	172.9691106
313	172.8834033
314	172.7054077
315	172.6555716
316	172.4206584
317	172.309725
318	172.2052202
319	172.1349227
320	171.9619864
321	171.6087969
322	171.5028589
323	171.1653082
324	171.1093472
325	171.0204862
326	170.946401
327	170.8557991
328	170.6475206
329	170.5211523
330	170.4496547
331	170.3869898
332	170.267277
333	169.9615185
334	169.7641035
335	169.6984042
336	169.5696725
337	169.4102119
338	169.1105104
339	169.0045223
340	168.9297358
341	168.8168031
342	168.7520272
343	168.7037037
344	168.4218834
345	168.2582643
346	168.1511691
347	168.0749065
348	167.814113
349	167.7531556
350	167.501931
351	167.4781827
352	167.3721479
353	167.142704
354	167.0190558
355	166.9758514
356	166.8029421
357	166.6860567
358	166.6710861
359	166.4488739
360	166.39919
361	166.23903
362	166.0352514
363	165.8886615
364	165.7945386
365	165.6494734
366	165.564583
367	165.4737003
368	165.4187993
369	165.2998687
370	165.2872733
371	165.1955969
372	165.0318706
373	164.8985223
374	164.8401553
375	164.7349624
376	164.6712758
377	164.5656261
378	164.3791135
379	164.2928832
380	164.0752802
381	164.0440225
382	164.0250318
383	163.9037388
384	163.5999371
385	163.4092509
386	163.3391889
387	163.1771697
388	163.163846
389	162.970222
390	162.9091111
391	162.8713169
392	162.6850498
393	162.591566
394	162.5245909
395	162.4223887
396	162.1592577
397	162.0581324
398	161.8780992
399	161.8435431
400	161.764282
401	161.6037734
402	161.5001027
403	161.4825981
404	161.445803
405	161.4001823
406	161.2115785
407	161.1763151
408	161.054528
409	160.9036804
410	160.8385967
411	160.7372845
412	160.5499296
413	160.4505711
414	160.2834302
415	160.247065
416	160.2037641
417	160.1491621
418	160.0858654
